model,exp,pred,psnr_avg,psnr_std,ssim_avg,ssim_std,metrics
style_translator_cahr_cmp,exp3,model_best_psnr_tta,22.587011666579592,4.961244738982402,0.5479514356020228,0.18329346939727256,./evaluations/style_translator_cahr_cmp/exp3/model_best_psnr_tta/metrics.csv
style_translator_cahr_cmp,exp1,model_best_psnr_tta,22.544891076302065,4.879813470040673,0.5481424260414675,0.18170134156158715,./evaluations/style_translator_cahr_cmp/exp1/model_best_psnr_tta/metrics.csv
style_translator_cahr_cmp,exp6,model_best_psnr,22.479930791714835,4.614218916045508,0.4999237186249967,0.19422579796254574,./evaluations/style_translator_cahr_cmp/exp6/model_best_psnr/metrics.csv
style_translator_cmp,exp4,model_best_psnr,22.424476728840336,4.650000084930804,0.49979888516905685,0.19228367361903356,./evaluations/style_translator_cmp/exp4/model_best_psnr/metrics.csv
style_translator_cahr,exp13,model_best_psnr,22.42364478313161,4.672087208873321,0.505417144425141,0.19334139491202754,./evaluations/style_translator_cahr/exp13/model_best_psnr/metrics.csv
style_translator_cmp,exp2,model_best_psnr,22.402016994354277,4.797900595754064,0.5067428851721295,0.19412903425435582,./evaluations/style_translator_cmp/exp2/model_best_psnr/metrics.csv
style_translator,exp4,model_best_psnr,22.35695537433193,4.815170204353078,0.5007881818567403,0.19105860000004835,./evaluations/style_translator/exp4/model_best_psnr/metrics.csv
style_translator_cahr,exp14,model_best_psnr,22.337391461192368,4.865948037962268,0.5120209194443914,0.19283992540384537,./evaluations/style_translator_cahr/exp14/model_best_psnr/metrics.csv
style_translator,exp6,model_best_psnr,22.326308514177533,4.661550057329018,0.5017871802189346,0.19187778053016225,./evaluations/style_translator/exp6/model_best_psnr/metrics.csv
style_translator_cmp,exp3,model_best_psnr,22.313772636624346,4.770310152750595,0.49903573047989597,0.19064239166528524,./evaluations/style_translator_cmp/exp3/model_best_psnr/metrics.csv
style_translator_cahr_cmp,exp5,model_best_psnr,22.304362633389655,4.627764158453328,0.49493398659250526,0.19317514732284383,./evaluations/style_translator_cahr_cmp/exp5/model_best_psnr/metrics.csv
style_translator_cahr,exp9,model_best_psnr,22.297038577621038,4.7513838433647475,0.4978263120926618,0.19027394413482623,./evaluations/style_translator_cahr/exp9/model_best_psnr/metrics.csv
style_translator_cahr,exp6,model_best_psnr,22.251300996161152,4.908621039075563,0.5059668016666097,0.19024206637420105,./evaluations/style_translator_cahr/exp6/model_best_psnr/metrics.csv
style_translator_cmp,exp1,model_best_psnr,22.243234998104054,5.018958699690127,0.5002277864129169,0.19331508530994182,./evaluations/style_translator_cmp/exp1/model_best_psnr/metrics.csv
style_translator_cahr_cmp,exp8,model_best_psnr,22.200682289007585,4.655833234397038,0.49437001532782726,0.19162829766845044,./evaluations/style_translator_cahr_cmp/exp8/model_best_psnr/metrics.csv
style_translator_cahr_cmp,exp7,model_best_psnr,22.11890083683483,4.578357585177045,0.49294457540576503,0.19158874522645947,./evaluations/style_translator_cahr_cmp/exp7/model_best_psnr/metrics.csv
style_translator,exp5,model_best_psnr,22.106257291214927,4.666559857508101,0.4966624977438196,0.19339955342126616,./evaluations/style_translator/exp5/model_best_psnr/metrics.csv
style_translator_cahr_cmp,exp2,model_best_psnr,21.99906099436,4.844247301869002,0.4989757609578473,0.1882897046925806,./evaluations/style_translator_cahr_cmp/exp2/model_best_psnr/metrics.csv
style_translator_cahr_cmp,exp3,model_best_psnr,21.995135919404614,4.821382436523437,0.49716199910311876,0.18723487391198823,./evaluations/style_translator_cahr_cmp/exp3/model_best_psnr/metrics.csv
style_translator_cahr_cmp,exp1,model_best_psnr,21.96300160596823,4.76010502379264,0.49730049365492224,0.18772069163241925,./evaluations/style_translator_cahr_cmp/exp1/model_best_psnr/metrics.csv
style_translator_cahr_cmp,exp4,model_best_psnr,21.930806946001525,4.817719267897162,0.4924405385469843,0.18646419860771035,./evaluations/style_translator_cahr_cmp/exp4/model_best_psnr/metrics.csv
